Trial,Block,Conflict,Trial_Type,Cue_Valence,Optimal_Action,Agent_Choice,Agent_Reward
81,B1_MC,PI,NW,1,0,,
82,B1_MC,PI,GAL,-1,1,,
83,B1_MC,PC,NAL,-1,0,,
84,B1_MC,PC,NAL,-1,0,,
85,B1_MC,PC,GW,1,1,,
86,B1_MC,PI,NW,1,0,,
87,B1_MC,PC,GW,1,1,,
88,B1_MC,PC,GW,1,1,,
89,B1_MC,PC,GW,1,1,,
90,B1_MC,PI,GAL,-1,1,,
91,B1_MC,PI,GAL,-1,1,,
92,B1_MC,PI,NW,1,0,,
93,B1_MC,PI,GAL,-1,1,,
94,B1_MC,PI,GAL,-1,1,,
95,B1_MC,PC,GW,1,1,,
96,B1_MC,PI,NW,1,0,,
97,B1_MC,PI,NW,1,0,,
98,B1_MC,PC,GW,1,1,,
99,B1_MC,PI,GAL,-1,1,,
100,B1_MC,PI,NW,1,0,,
101,B2_HC,PI,GAL,-1,1,,
102,B2_HC,PI,NW,1,0,,
103,B2_HC,PI,GAL,-1,1,,
104,B2_HC,PI,NW,1,0,,
105,B2_HC,PC,NAL,-1,0,,
106,B2_HC,PC,NAL,-1,0,,
107,B2_HC,PI,GAL,-1,1,,
108,B2_HC,PC,NAL,-1,0,,
109,B2_HC,PI,NW,1,0,,
110,B2_HC,PC,NAL,-1,0,,
111,B2_HC,PI,NW,1,0,,
112,B2_HC,PI,GAL,-1,1,,
113,B2_HC,PI,GAL,-1,1,,
114,B2_HC,PI,GAL,-1,1,,
115,B2_HC,PI,NW,1,0,,
116,B2_HC,PI,GAL,-1,1,,
117,B2_HC,PI,NW,1,0,,
118,B2_HC,PI,NW,1,0,,
119,B2_HC,PC,NAL,-1,0,,
120,B2_HC,PI,NW,1,0,,
121,B2_HC,PI,NW,1,0,,
122,B2_HC,PI,NW,1,0,,
123,B2_HC,PI,GAL,-1,1,,
124,B2_HC,PC,NAL,-1,0,,
125,B2_HC,PI,GAL,-1,1,,
126,B2_HC,PC,GW,1,1,,
127,B2_HC,PC,NAL,-1,0,,
128,B2_HC,PI,GAL,-1,1,,
129,B2_HC,PI,GAL,-1,1,,
130,B2_HC,PI,GAL,-1,1,,
131,B2_HC,PI,NW,1,0,,
132,B2_HC,PI,GAL,-1,1,,
133,B2_HC,PI,NW,1,0,,
134,B2_HC,PI,GAL,-1,1,,
135,B2_HC,PI,NW,1,0,,
136,B2_HC,PI,GAL,-1,1,,
137,B2_HC,PI,GAL,-1,1,,
138,B2_HC,PI,GAL,-1,1,,
139,B2_HC,PI,NW,1,0,,
140,B2_HC,PC,NAL,-1,0,,
141,B2_HC,PI,GAL,-1,1,,
142,B2_HC,PC,GW,1,1,,
143,B2_HC,PC,NAL,-1,0,,
144,B2_HC,PC,NAL,-1,0,,
145,B2_HC,PI,NW,1,0,,
146,B2_HC,PI,GAL,-1,1,,
147,B2_HC,PI,GAL,-1,1,,
148,B2_HC,PI,NW,1,0,,
149,B2_HC,PC,GW,1,1,,
150,B2_HC,PI,GAL,-1,1,,
151,B2_HC,PI,GAL,-1,1,,
152,B2_HC,PC,GW,1,1,,
153,B2_HC,PI,GAL,-1,1,,
154,B2_HC,PC,NAL,-1,0,,
155,B2_HC,PI,GAL,-1,1,,
156,B2_HC,PI,GAL,-1,1,,
157,B2_HC,PI,NW,1,0,,
158,B2_HC,PC,GW,1,1,,
159,B2_HC,PI,NW,1,0,,
160,B2_HC,PC,NAL,-1,0,,
161,B2_HC,PI,NW,1,0,,
162,B2_HC,PI,GAL,-1,1,,
163,B2_HC,PI,NW,1,0,,
164,B2_HC,PI,NW,1,0,,
165,B2_HC,PI,GAL,-1,1,,
166,B2_HC,PC,GW,1,1,,
167,B2_HC,PI,NW,1,0,,
168,B2_HC,PI,NW,1,0,,
169,B2_HC,PI,NW,1,0,,
170,B2_HC,PI,NW,1,0,,
171,B2_HC,PC,GW,1,1,,
172,B2_HC,PC,GW,1,1,,
173,B2_HC,PC,NAL,-1,0,,
174,B2_HC,PC,GW,1,1,,
175,B2_HC,PI,GAL,-1,1,,
176,B2_HC,PC,GW,1,1,,
177,B2_HC,PC,GW,1,1,,
178,B2_HC,PI,GAL,-1,1,,
179,B2_HC,PI,NW,1,0,,
180,B2_HC,PI,NW,1,0,,
181,B2_HC,PI,GAL,-1,1,,
182,B2_HC,PI,NW,1,0,,
183,B2_HC,PI,NW,1,0,,
184,B2_HC,PI,NW,1,0,,
185,B2_HC,PC,NAL,-1,0,,
186,B2_HC,PI,NW,1,0,,
187,B2_HC,PI,GAL,-1,1,,
188,B2_HC,PI,NW,1,0,,
189,B2_HC,PC,GW,1,1,,
190,B2_HC,PI,GAL,-1,1,,
191,B2_HC,PI,GAL,-1,1,,
192,B2_HC,PC,GW,1,1,,
193,B2_HC,PC,NAL,-1,0,,
194,B2_HC,PI,NW,1,0,,
195,B2_HC,PC,GW,1,1,,
196,B2_HC,PI,NW,1,0,,
197,B2_HC,PI,GAL,-1,1,,
198,B2_HC,PI,NW,1,0,,
199,B2_HC,PC,GW,1,1,,
200,B2_HC,PI,GAL,-1,1,,
201,B4_LC,PC,NAL,-1,0,,
202,B4_LC,PC,GW,1,1,,
203,B4_LC,PI,GAL,-1,1,,
204,B4_LC,PI,NW,1,0,,
205,B4_LC,PC,GW,1,1,,
206,B4_LC,PC,GW,1,1,,
207,B4_LC,PC,NAL,-1,0,,
208,B4_LC,PC,GW,1,1,,
209,B4_LC,PI,NW,1,0,,
210,B4_LC,PI,GAL,-1,1,,
211,B4_LC,PC,NAL,-1,0,,
212,B4_LC,PC,GW,1,1,,
213,B4_LC,PC,NAL,-1,0,,
214,B4_LC,PC,GW,1,1,,
215,B4_LC,PC,GW,1,1,,
216,B4_LC,PC,NAL,-1,0,,
217,B4_LC,PC,NAL,-1,0,,
218,B4_LC,PC,NAL,-1,0,,
219,B4_LC,PC,GW,1,1,,
220,B4_LC,PC,NAL,-1,0,,
221,B4_LC,PC,NAL,-1,0,,
222,B4_LC,PC,NAL,-1,0,,
223,B4_LC,PI,NW,1,0,,
224,B4_LC,PI,GAL,-1,1,,
225,B4_LC,PC,NAL,-1,0,,
226,B4_LC,PC,GW,1,1,,
227,B4_LC,PC,GW,1,1,,
228,B4_LC,PC,GW,1,1,,
229,B4_LC,PI,NW,1,0,,
230,B4_LC,PI,NW,1,0,,
231,B4_LC,PC,NAL,-1,0,,
232,B4_LC,PC,GW,1,1,,
233,B4_LC,PC,NAL,-1,0,,
234,B4_LC,PI,NW,1,0,,
235,B4_LC,PI,GAL,-1,1,,
236,B4_LC,PI,GAL,-1,1,,
237,B4_LC,PC,NAL,-1,0,,
238,B4_LC,PI,NW,1,0,,
239,B4_LC,PI,GAL,-1,1,,
240,B4_LC,PC,GW,1,1,,
241,B4_LC,PI,GAL,-1,1,,
242,B4_LC,PC,NAL,-1,0,,
243,B4_LC,PC,GW,1,1,,
244,B4_LC,PC,GW,1,1,,
245,B4_LC,PC,NAL,-1,0,,
246,B4_LC,PI,GAL,-1,1,,
247,B4_LC,PC,GW,1,1,,
248,B4_LC,PI,NW,1,0,,
249,B4_LC,PC,GW,1,1,,
250,B4_LC,PC,GW,1,1,,
251,B4_LC,PC,NAL,-1,0,,
252,B4_LC,PC,GW,1,1,,
253,B4_LC,PC,GW,1,1,,
254,B4_LC,PC,GW,1,1,,
255,B4_LC,PC,NAL,-1,0,,
256,B4_LC,PC,GW,1,1,,
257,B4_LC,PC,NAL,-1,0,,
258,B4_LC,PC,GW,1,1,,
259,B4_LC,PI,NW,1,0,,
260,B4_LC,PI,GAL,-1,1,,
261,B4_LC,PC,NAL,-1,0,,
262,B4_LC,PC,GW,1,1,,
263,B4_LC,PC,NAL,-1,0,,
264,B4_LC,PC,NAL,-1,0,,
265,B4_LC,PC,NAL,-1,0,,
266,B4_LC,PC,GW,1,1,,
267,B4_LC,PC,NAL,-1,0,,
268,B4_LC,PI,NW,1,0,,
269,B4_LC,PI,NW,1,0,,
270,B4_LC,PC,NAL,-1,0,,
271,B4_LC,PI,GAL,-1,1,,
272,B4_LC,PC,NAL,-1,0,,
273,B4_LC,PI,NW,1,0,,
274,B4_LC,PC,GW,1,1,,
275,B4_LC,PC,GW,1,1,,
276,B4_LC,PI,NW,1,0,,
277,B4_LC,PC,NAL,-1,0,,
278,B4_LC,PI,NW,1,0,,
279,B4_LC,PC,GW,1,1,,
280,B4_LC,PC,GW,1,1,,
281,B4_LC,PI,GAL,-1,1,,
282,B4_LC,PC,NAL,-1,0,,
283,B4_LC,PC,GW,1,1,,
284,B4_LC,PC,NAL,-1,0,,
285,B4_LC,PC,GW,1,1,,
286,B4_LC,PC,NAL,-1,0,,
287,B4_LC,PI,NW,1,0,,
288,B4_LC,PC,NAL,-1,0,,
289,B4_LC,PC,NAL,-1,0,,
290,B4_LC,PI,GAL,-1,1,,
291,B4_LC,PC,NAL,-1,0,,
292,B4_LC,PC,GW,1,1,,
293,B4_LC,PI,GAL,-1,1,,
294,B4_LC,PC,NAL,-1,0,,
295,B4_LC,PC,NAL,-1,0,,
296,B4_LC,PC,GW,1,1,,
297,B4_LC,PC,GW,1,1,,
298,B4_LC,PC,GW,1,1,,
299,B4_LC,PI,GAL,-1,1,,
300,B4_LC,PI,GAL,-1,1,,
