Trial,Block,Conflict,Trial_Type,Cue_Valence,Optimal_Action,Agent_Choice,Agent_Reward
77,B1_MC,PI,NW,1,0,,
78,B1_MC,PC,GW,1,1,,
79,B1_MC,PI,NW,1,0,,
80,B1_MC,PC,NAL,-1,0,,
81,B1_MC,PI,NW,1,0,,
82,B1_MC,PC,GW,1,1,,
83,B1_MC,PC,NAL,-1,0,,
84,B1_MC,PC,GW,1,1,,
85,B1_MC,PC,NAL,-1,0,,
86,B1_MC,PI,NW,1,0,,
87,B1_MC,PI,GAL,-1,1,,
88,B1_MC,PI,NW,1,0,,
89,B1_MC,PI,GAL,-1,1,,
90,B1_MC,PC,NAL,-1,0,,
91,B1_MC,PC,NAL,-1,0,,
92,B1_MC,PC,NAL,-1,0,,
93,B1_MC,PI,NW,1,0,,
94,B1_MC,PC,GW,1,1,,
95,B1_MC,PI,GAL,-1,1,,
96,B1_MC,PC,NAL,-1,0,,
97,B1_MC,PI,GAL,-1,1,,
98,B1_MC,PC,GW,1,1,,
99,B1_MC,PC,GW,1,1,,
100,B1_MC,PI,GAL,-1,1,,
101,B1_MC,PI,NW,1,0,,
102,B1_MC,PC,NAL,-1,0,,
103,B1_MC,PI,GAL,-1,1,,
104,B1_MC,PC,NAL,-1,0,,
105,B1_MC,PI,NW,1,0,,
106,B1_MC,PI,NW,1,0,,
107,B1_MC,PI,NW,1,0,,
108,B1_MC,PI,GAL,-1,1,,
109,B1_MC,PC,GW,1,1,,
110,B1_MC,PI,GAL,-1,1,,
111,B1_MC,PI,NW,1,0,,
112,B1_MC,PI,GAL,-1,1,,
113,B1_MC,PI,GAL,-1,1,,
114,B1_MC,PI,GAL,-1,1,,
115,B1_MC,PC,GW,1,1,,
116,B1_MC,PC,NAL,-1,0,,
117,B1_MC,PC,GW,1,1,,
118,B1_MC,PI,GAL,-1,1,,
119,B1_MC,PI,NW,1,0,,
120,B1_MC,PC,NAL,-1,0,,
121,B1_MC,PI,GAL,-1,1,,
122,B1_MC,PC,NAL,-1,0,,
123,B1_MC,PI,NW,1,0,,
124,B1_MC,PC,NAL,-1,0,,
125,B1_MC,PC,GW,1,1,,
126,B1_MC,PI,NW,1,0,,
127,B1_MC,PI,NW,1,0,,
128,B1_MC,PC,NAL,-1,0,,
129,B1_MC,PI,GAL,-1,1,,
130,B1_MC,PI,GAL,-1,1,,
131,B1_MC,PI,NW,1,0,,
132,B1_MC,PI,GAL,-1,1,,
133,B1_MC,PC,NAL,-1,0,,
134,B1_MC,PI,GAL,-1,1,,
135,B1_MC,PI,NW,1,0,,
136,B1_MC,PC,GW,1,1,,
137,B1_MC,PC,GW,1,1,,
138,B1_MC,PC,GW,1,1,,
139,B1_MC,PC,GW,1,1,,
140,B1_MC,PC,GW,1,1,,
141,B1_MC,PC,GW,1,1,,
142,B1_MC,PC,GW,1,1,,
143,B1_MC,PI,NW,1,0,,
144,B1_MC,PC,NAL,-1,0,,
145,B1_MC,PI,GAL,-1,1,,
146,B1_MC,PI,GAL,-1,1,,
147,B1_MC,PI,GAL,-1,1,,
148,B1_MC,PC,GW,1,1,,
149,B1_MC,PI,GAL,-1,1,,
150,B1_MC,PC,NAL,-1,0,,
151,B1_MC,PI,NW,1,0,,
152,B1_MC,PC,GW,1,1,,
153,B1_MC,PI,GAL,-1,1,,
154,B1_MC,PC,NAL,-1,0,,
155,B1_MC,PI,GAL,-1,1,,
156,B1_MC,PC,NAL,-1,0,,
157,B1_MC,PC,NAL,-1,0,,
158,B1_MC,PI,NW,1,0,,
159,B1_MC,PC,GW,1,1,,
160,B1_MC,PI,GAL,-1,1,,
161,B1_MC,PI,NW,1,0,,
162,B1_MC,PI,GAL,-1,1,,
163,B1_MC,PI,NW,1,0,,
164,B1_MC,PI,NW,1,0,,
165,B1_MC,PI,GAL,-1,1,,
166,B1_MC,PI,NW,1,0,,
167,B1_MC,PC,NAL,-1,0,,
168,B1_MC,PI,NW,1,0,,
169,B1_MC,PC,NAL,-1,0,,
170,B1_MC,PC,NAL,-1,0,,
171,B1_MC,PC,NAL,-1,0,,
172,B1_MC,PC,NAL,-1,0,,
173,B1_MC,PC,GW,1,1,,
174,B1_MC,PI,GAL,-1,1,,
175,B1_MC,PC,NAL,-1,0,,
176,B1_MC,PC,NAL,-1,0,,
177,B1_MC,PC,NAL,-1,0,,
178,B1_MC,PC,NAL,-1,0,,
179,B1_MC,PI,GAL,-1,1,,
180,B1_MC,PI,NW,1,0,,
181,B1_MC,PC,NAL,-1,0,,
182,B1_MC,PI,NW,1,0,,
183,B1_MC,PC,NAL,-1,0,,
184,B1_MC,PI,NW,1,0,,
185,B1_MC,PI,GAL,-1,1,,
186,B1_MC,PC,GW,1,1,,
187,B1_MC,PC,NAL,-1,0,,
188,B1_MC,PC,NAL,-1,0,,
189,B1_MC,PI,GAL,-1,1,,
190,B1_MC,PI,NW,1,0,,
191,B1_MC,PI,GAL,-1,1,,
192,B1_MC,PI,GAL,-1,1,,
193,B1_MC,PI,NW,1,0,,
194,B1_MC,PC,GW,1,1,,
195,B1_MC,PC,GW,1,1,,
196,B1_MC,PC,NAL,-1,0,,
197,B1_MC,PC,NAL,-1,0,,
198,B1_MC,PC,GW,1,1,,
199,B1_MC,PI,NW,1,0,,
200,B1_MC,PC,GW,1,1,,
201,B1_MC,PC,GW,1,1,,
202,B1_MC,PI,NW,1,0,,
203,B1_MC,PI,NW,1,0,,
204,B1_MC,PI,NW,1,0,,
205,B1_MC,PI,GAL,-1,1,,
206,B1_MC,PI,NW,1,0,,
207,B1_MC,PC,GW,1,1,,
208,B1_MC,PI,GAL,-1,1,,
209,B1_MC,PC,NAL,-1,0,,
210,B1_MC,PI,GAL,-1,1,,
211,B1_MC,PC,GW,1,1,,
212,B1_MC,PC,GW,1,1,,
213,B1_MC,PI,GAL,-1,1,,
214,B1_MC,PI,GAL,-1,1,,
215,B1_MC,PI,NW,1,0,,
216,B1_MC,PC,NAL,-1,0,,
217,B1_MC,PI,NW,1,0,,
218,B1_MC,PC,GW,1,1,,
219,B1_MC,PI,GAL,-1,1,,
220,B1_MC,PI,NW,1,0,,
221,B1_MC,PC,NAL,-1,0,,
222,B1_MC,PI,NW,1,0,,
223,B1_MC,PI,GAL,-1,1,,
224,B1_MC,PC,GW,1,1,,
225,B1_MC,PI,GAL,-1,1,,
226,B1_MC,PC,GW,1,1,,
227,B1_MC,PI,NW,1,0,,
228,B1_MC,PC,NAL,-1,0,,
229,B1_MC,PI,GAL,-1,1,,
230,B1_MC,PI,NW,1,0,,
231,B1_MC,PC,NAL,-1,0,,
232,B1_MC,PI,GAL,-1,1,,
233,B1_MC,PC,NAL,-1,0,,
234,B1_MC,PI,NW,1,0,,
235,B1_MC,PC,GW,1,1,,
236,B1_MC,PC,GW,1,1,,
237,B1_MC,PC,GW,1,1,,
238,B1_MC,PI,GAL,-1,1,,
239,B1_MC,PC,GW,1,1,,
240,B1_MC,PC,NAL,-1,0,,
241,B1_MC,PC,GW,1,1,,
242,B1_MC,PC,GW,1,1,,
243,B1_MC,PI,NW,1,0,,
244,B1_MC,PI,GAL,-1,1,,
245,B1_MC,PC,NAL,-1,0,,
246,B1_MC,PC,GW,1,1,,
247,B1_MC,PC,NAL,-1,0,,
248,B1_MC,PC,GW,1,1,,
249,B1_MC,PC,GW,1,1,,
250,B1_MC,PC,NAL,-1,0,,
251,B1_MC,PC,GW,1,1,,
252,B1_MC,PI,GAL,-1,1,,
253,B1_MC,PI,GAL,-1,1,,
254,B1_MC,PI,GAL,-1,1,,
255,B1_MC,PC,NAL,-1,0,,
256,B1_MC,PC,NAL,-1,0,,
257,B1_MC,PI,NW,1,0,,
258,B1_MC,PI,GAL,-1,1,,
259,B1_MC,PI,GAL,-1,1,,
260,B1_MC,PC,GW,1,1,,
261,B1_MC,PI,NW,1,0,,
262,B1_MC,PC,NAL,-1,0,,
263,B1_MC,PC,GW,1,1,,
264,B1_MC,PC,NAL,-1,0,,
265,B1_MC,PC,NAL,-1,0,,
266,B1_MC,PI,GAL,-1,1,,
267,B1_MC,PI,GAL,-1,1,,
268,B1_MC,PC,NAL,-1,0,,
269,B1_MC,PI,NW,1,0,,
270,B1_MC,PC,NAL,-1,0,,
271,B1_MC,PC,NAL,-1,0,,
272,B1_MC,PC,GW,1,1,,
273,B1_MC,PI,GAL,-1,1,,
274,B1_MC,PC,NAL,-1,0,,
275,B1_MC,PI,NW,1,0,,
276,B1_MC,PC,GW,1,1,,
277,B1_MC,PC,GW,1,1,,
278,B1_MC,PI,NW,1,0,,
279,B1_MC,PC,GW,1,1,,
280,B1_MC,PI,GAL,-1,1,,
281,B1_MC,PI,NW,1,0,,
282,B1_MC,PI,GAL,-1,1,,
283,B1_MC,PC,GW,1,1,,
284,B1_MC,PC,NAL,-1,0,,
285,B1_MC,PC,GW,1,1,,
286,B1_MC,PI,NW,1,0,,
287,B1_MC,PC,NAL,-1,0,,
288,B1_MC,PC,NAL,-1,0,,
289,B1_MC,PC,GW,1,1,,
290,B1_MC,PI,GAL,-1,1,,
291,B1_MC,PI,GAL,-1,1,,
292,B1_MC,PI,GAL,-1,1,,
293,B1_MC,PI,NW,1,0,,
294,B1_MC,PC,NAL,-1,0,,
295,B1_MC,PC,NAL,-1,0,,
296,B1_MC,PC,NAL,-1,0,,
297,B1_MC,PI,GAL,-1,1,,
298,B1_MC,PC,NAL,-1,0,,
299,B1_MC,PC,GW,1,1,,
300,B1_MC,PC,GW,1,1,,
301,B1_MC,PI,NW,1,0,,
302,B1_MC,PC,NAL,-1,0,,
303,B1_MC,PC,NAL,-1,0,,
304,B1_MC,PC,NAL,-1,0,,
305,B1_MC,PI,GAL,-1,1,,
306,B1_MC,PI,GAL,-1,1,,
307,B1_MC,PC,NAL,-1,0,,
308,B1_MC,PI,NW,1,0,,
309,B1_MC,PI,GAL,-1,1,,
310,B1_MC,PI,NW,1,0,,
311,B1_MC,PI,NW,1,0,,
312,B1_MC,PI,NW,1,0,,
313,B1_MC,PI,NW,1,0,,
314,B1_MC,PI,NW,1,0,,
315,B1_MC,PC,NAL,-1,0,,
316,B1_MC,PC,NAL,-1,0,,
317,B1_MC,PC,GW,1,1,,
318,B1_MC,PC,NAL,-1,0,,
319,B1_MC,PI,NW,1,0,,
320,B1_MC,PC,GW,1,1,,
321,B1_MC,PC,GW,1,1,,
322,B1_MC,PC,GW,1,1,,
323,B1_MC,PC,NAL,-1,0,,
324,B1_MC,PI,NW,1,0,,
325,B1_MC,PI,GAL,-1,1,,
326,B1_MC,PI,NW,1,0,,
327,B1_MC,PC,NAL,-1,0,,
328,B1_MC,PC,NAL,-1,0,,
329,B1_MC,PI,NW,1,0,,
330,B1_MC,PC,GW,1,1,,
331,B1_MC,PI,NW,1,0,,
332,B1_MC,PC,NAL,-1,0,,
333,B1_MC,PI,NW,1,0,,
334,B1_MC,PI,NW,1,0,,
335,B1_MC,PC,GW,1,1,,
336,B1_MC,PC,NAL,-1,0,,
337,B1_MC,PI,NW,1,0,,
338,B1_MC,PI,NW,1,0,,
339,B1_MC,PI,GAL,-1,1,,
340,B1_MC,PI,NW,1,0,,
341,B1_MC,PC,NAL,-1,0,,
342,B1_MC,PC,NAL,-1,0,,
343,B1_MC,PC,GW,1,1,,
344,B1_MC,PC,GW,1,1,,
345,B1_MC,PC,NAL,-1,0,,
346,B1_MC,PC,NAL,-1,0,,
347,B1_MC,PI,NW,1,0,,
348,B1_MC,PI,GAL,-1,1,,
349,B1_MC,PC,GW,1,1,,
350,B1_MC,PI,GAL,-1,1,,
351,B1_MC,PC,GW,1,1,,
352,B1_MC,PC,NAL,-1,0,,
353,B1_MC,PI,GAL,-1,1,,
354,B1_MC,PC,GW,1,1,,
355,B1_MC,PC,NAL,-1,0,,
356,B1_MC,PC,GW,1,1,,
357,B1_MC,PC,NAL,-1,0,,
358,B1_MC,PC,NAL,-1,0,,
359,B1_MC,PC,NAL,-1,0,,
360,B1_MC,PC,GW,1,1,,
361,B1_MC,PC,NAL,-1,0,,
362,B1_MC,PI,NW,1,0,,
363,B1_MC,PC,GW,1,1,,
364,B1_MC,PC,NAL,-1,0,,
365,B1_MC,PC,GW,1,1,,
366,B1_MC,PC,GW,1,1,,
367,B1_MC,PI,GAL,-1,1,,
368,B1_MC,PC,GW,1,1,,
369,B1_MC,PC,NAL,-1,0,,
370,B1_MC,PI,GAL,-1,1,,
371,B1_MC,PC,GW,1,1,,
372,B1_MC,PI,NW,1,0,,
373,B1_MC,PC,GW,1,1,,
374,B1_MC,PC,GW,1,1,,
375,B1_MC,PC,GW,1,1,,
376,B1_MC,PI,NW,1,0,,
377,B1_MC,PC,NAL,-1,0,,
378,B1_MC,PC,GW,1,1,,
379,B1_MC,PI,GAL,-1,1,,
380,B1_MC,PI,GAL,-1,1,,
381,B1_MC,PC,GW,1,1,,
382,B1_MC,PC,GW,1,1,,
383,B1_MC,PI,GAL,-1,1,,
384,B1_MC,PC,GW,1,1,,
385,B1_MC,PC,GW,1,1,,
386,B1_MC,PI,GAL,-1,1,,
387,B1_MC,PI,NW,1,0,,
388,B1_MC,PC,GW,1,1,,
389,B1_MC,PI,GAL,-1,1,,
390,B1_MC,PI,GAL,-1,1,,
391,B1_MC,PC,GW,1,1,,
392,B1_MC,PC,GW,1,1,,
393,B1_MC,PI,NW,1,0,,
394,B1_MC,PC,GW,1,1,,
395,B1_MC,PI,NW,1,0,,
396,B1_MC,PC,GW,1,1,,
397,B1_MC,PC,NAL,-1,0,,
398,B1_MC,PC,NAL,-1,0,,
399,B1_MC,PI,GAL,-1,1,,
400,B1_MC,PI,GAL,-1,1,,
401,B1_MC,PC,GW,1,1,,
402,B1_MC,PC,NAL,-1,0,,
403,B1_MC,PI,NW,1,0,,
404,B1_MC,PI,NW,1,0,,
405,B1_MC,PI,NW,1,0,,
406,B1_MC,PI,NW,1,0,,
407,B1_MC,PI,GAL,-1,1,,
408,B1_MC,PC,NAL,-1,0,,
409,B1_MC,PC,GW,1,1,,
410,B1_MC,PI,NW,1,0,,
411,B1_MC,PI,NW,1,0,,
412,B1_MC,PI,GAL,-1,1,,
413,B1_MC,PI,GAL,-1,1,,
414,B1_MC,PC,NAL,-1,0,,
415,B1_MC,PI,GAL,-1,1,,
416,B1_MC,PI,NW,1,0,,
417,B1_MC,PI,NW,1,0,,
418,B1_MC,PI,GAL,-1,1,,
419,B1_MC,PI,NW,1,0,,
420,B1_MC,PC,NAL,-1,0,,
421,B1_MC,PC,GW,1,1,,
422,B1_MC,PI,NW,1,0,,
423,B1_MC,PC,NAL,-1,0,,
424,B1_MC,PI,NW,1,0,,
425,B1_MC,PC,NAL,-1,0,,
426,B1_MC,PC,NAL,-1,0,,
427,B1_MC,PC,GW,1,1,,
428,B1_MC,PC,GW,1,1,,
429,B1_MC,PI,NW,1,0,,
430,B1_MC,PC,NAL,-1,0,,
431,B1_MC,PC,NAL,-1,0,,
432,B1_MC,PC,NAL,-1,0,,
433,B1_MC,PC,NAL,-1,0,,
434,B1_MC,PC,NAL,-1,0,,
435,B1_MC,PC,NAL,-1,0,,
436,B1_MC,PC,GW,1,1,,
437,B1_MC,PC,GW,1,1,,
438,B1_MC,PC,NAL,-1,0,,
439,B1_MC,PI,GAL,-1,1,,
440,B1_MC,PI,NW,1,0,,
441,B1_MC,PC,GW,1,1,,
442,B1_MC,PI,NW,1,0,,
443,B1_MC,PI,GAL,-1,1,,
444,B1_MC,PI,NW,1,0,,
445,B1_MC,PI,NW,1,0,,
446,B1_MC,PI,NW,1,0,,
447,B1_MC,PI,NW,1,0,,
448,B1_MC,PC,GW,1,1,,
449,B1_MC,PI,NW,1,0,,
450,B1_MC,PI,NW,1,0,,
451,B1_MC,PI,NW,1,0,,
452,B1_MC,PI,GAL,-1,1,,
453,B1_MC,PC,NAL,-1,0,,
454,B1_MC,PC,GW,1,1,,
455,B1_MC,PC,GW,1,1,,
456,B1_MC,PI,NW,1,0,,
457,B1_MC,PI,GAL,-1,1,,
458,B1_MC,PI,NW,1,0,,
459,B1_MC,PC,NAL,-1,0,,
460,B1_MC,PC,NAL,-1,0,,
461,B1_MC,PC,GW,1,1,,
462,B1_MC,PC,GW,1,1,,
463,B1_MC,PI,NW,1,0,,
464,B1_MC,PI,GAL,-1,1,,
465,B1_MC,PC,NAL,-1,0,,
466,B1_MC,PC,GW,1,1,,
467,B1_MC,PC,GW,1,1,,
468,B1_MC,PC,NAL,-1,0,,
469,B1_MC,PI,NW,1,0,,
470,B1_MC,PC,NAL,-1,0,,
471,B1_MC,PC,NAL,-1,0,,
472,B1_MC,PC,GW,1,1,,
473,B1_MC,PI,GAL,-1,1,,
474,B1_MC,PC,GW,1,1,,
475,B1_MC,PC,NAL,-1,0,,
476,B1_MC,PI,GAL,-1,1,,
477,B1_MC,PI,GAL,-1,1,,
478,B1_MC,PI,GAL,-1,1,,
479,B1_MC,PI,NW,1,0,,
480,B1_MC,PI,NW,1,0,,
481,B1_MC,PI,NW,1,0,,
482,B1_MC,PC,GW,1,1,,
483,B1_MC,PC,GW,1,1,,
484,B1_MC,PC,NAL,-1,0,,
485,B1_MC,PI,NW,1,0,,
486,B1_MC,PC,GW,1,1,,
487,B1_MC,PC,GW,1,1,,
488,B1_MC,PC,NAL,-1,0,,
489,B1_MC,PC,GW,1,1,,
490,B1_MC,PC,NAL,-1,0,,
491,B1_MC,PI,GAL,-1,1,,
492,B1_MC,PI,NW,1,0,,
493,B1_MC,PI,GAL,-1,1,,
494,B1_MC,PC,GW,1,1,,
495,B1_MC,PC,NAL,-1,0,,
496,B1_MC,PC,GW,1,1,,
497,B1_MC,PC,NAL,-1,0,,
498,B1_MC,PC,NAL,-1,0,,
499,B1_MC,PI,GAL,-1,1,,
500,B1_MC,PI,GAL,-1,1,,
501,B1_MC,PI,NW,1,0,,
502,B1_MC,PC,GW,1,1,,
503,B1_MC,PC,NAL,-1,0,,
504,B1_MC,PI,GAL,-1,1,,
505,B1_MC,PI,GAL,-1,1,,
506,B1_MC,PI,GAL,-1,1,,
507,B1_MC,PI,NW,1,0,,
508,B1_MC,PC,NAL,-1,0,,
509,B1_MC,PI,GAL,-1,1,,
510,B1_MC,PI,GAL,-1,1,,
511,B1_MC,PC,NAL,-1,0,,
512,B1_MC,PI,NW,1,0,,
513,B1_MC,PC,NAL,-1,0,,
514,B1_MC,PC,GW,1,1,,
515,B1_MC,PC,NAL,-1,0,,
516,B1_MC,PI,GAL,-1,1,,
517,B1_MC,PC,GW,1,1,,
518,B1_MC,PC,GW,1,1,,
519,B1_MC,PI,GAL,-1,1,,
520,B1_MC,PC,GW,1,1,,
521,B1_MC,PC,NAL,-1,0,,
522,B1_MC,PI,NW,1,0,,
523,B1_MC,PI,GAL,-1,1,,
524,B1_MC,PC,NAL,-1,0,,
525,B1_MC,PC,NAL,-1,0,,
526,B1_MC,PI,NW,1,0,,
527,B1_MC,PI,GAL,-1,1,,
528,B1_MC,PC,GW,1,1,,
529,B1_MC,PI,NW,1,0,,
530,B1_MC,PC,GW,1,1,,
531,B1_MC,PI,NW,1,0,,
532,B1_MC,PC,GW,1,1,,
533,B1_MC,PI,NW,1,0,,
534,B1_MC,PC,NAL,-1,0,,
535,B1_MC,PI,GAL,-1,1,,
536,B1_MC,PC,NAL,-1,0,,
537,B1_MC,PC,GW,1,1,,
538,B1_MC,PC,GW,1,1,,
539,B1_MC,PI,NW,1,0,,
540,B1_MC,PC,NAL,-1,0,,
541,B1_MC,PC,GW,1,1,,
542,B1_MC,PC,NAL,-1,0,,
543,B1_MC,PC,GW,1,1,,
544,B1_MC,PC,NAL,-1,0,,
545,B1_MC,PC,GW,1,1,,
546,B1_MC,PI,GAL,-1,1,,
547,B1_MC,PI,NW,1,0,,
548,B1_MC,PI,GAL,-1,1,,
549,B1_MC,PI,NW,1,0,,
550,B1_MC,PC,GW,1,1,,
551,B1_MC,PC,GW,1,1,,
552,B1_MC,PC,NAL,-1,0,,
553,B1_MC,PI,NW,1,0,,
554,B1_MC,PC,GW,1,1,,
555,B1_MC,PI,GAL,-1,1,,
556,B1_MC,PI,GAL,-1,1,,
557,B1_MC,PC,NAL,-1,0,,
558,B1_MC,PC,NAL,-1,0,,
559,B1_MC,PC,GW,1,1,,
560,B1_MC,PC,NAL,-1,0,,
561,B1_MC,PC,GW,1,1,,
562,B1_MC,PI,GAL,-1,1,,
563,B1_MC,PI,GAL,-1,1,,
564,B1_MC,PI,NW,1,0,,
565,B1_MC,PC,NAL,-1,0,,
566,B1_MC,PC,NAL,-1,0,,
567,B1_MC,PI,NW,1,0,,
568,B1_MC,PC,NAL,-1,0,,
569,B1_MC,PC,NAL,-1,0,,
570,B1_MC,PI,GAL,-1,1,,
571,B1_MC,PC,GW,1,1,,
572,B1_MC,PC,GW,1,1,,
573,B1_MC,PI,GAL,-1,1,,
574,B1_MC,PC,GW,1,1,,
575,B1_MC,PC,NAL,-1,0,,
576,B1_MC,PI,GAL,-1,1,,
577,B1_MC,PC,GW,1,1,,
578,B1_MC,PC,NAL,-1,0,,
579,B1_MC,PC,NAL,-1,0,,
580,B1_MC,PI,NW,1,0,,
581,B1_MC,PC,NAL,-1,0,,
582,B1_MC,PC,GW,1,1,,
583,B1_MC,PI,GAL,-1,1,,
584,B1_MC,PI,GAL,-1,1,,
585,B1_MC,PI,GAL,-1,1,,
586,B1_MC,PC,NAL,-1,0,,
587,B1_MC,PI,NW,1,0,,
588,B1_MC,PI,NW,1,0,,
589,B1_MC,PC,GW,1,1,,
590,B1_MC,PC,GW,1,1,,
591,B1_MC,PC,GW,1,1,,
592,B1_MC,PI,GAL,-1,1,,
593,B1_MC,PI,NW,1,0,,
594,B1_MC,PI,GAL,-1,1,,
595,B1_MC,PI,GAL,-1,1,,
596,B1_MC,PC,GW,1,1,,
597,B1_MC,PC,NAL,-1,0,,
598,B1_MC,PI,NW,1,0,,
599,B1_MC,PI,NW,1,0,,
600,B1_MC,PI,NW,1,0,,
601,B1_MC,PC,GW,1,1,,
602,B1_MC,PC,GW,1,1,,
603,B1_MC,PC,NAL,-1,0,,
604,B1_MC,PC,NAL,-1,0,,
605,B1_MC,PI,NW,1,0,,
606,B1_MC,PI,GAL,-1,1,,
607,B1_MC,PC,GW,1,1,,
608,B1_MC,PC,GW,1,1,,
609,B1_MC,PI,NW,1,0,,
610,B1_MC,PI,NW,1,0,,
611,B1_MC,PC,GW,1,1,,
612,B1_MC,PC,NAL,-1,0,,
613,B1_MC,PI,GAL,-1,1,,
614,B1_MC,PI,NW,1,0,,
615,B1_MC,PI,NW,1,0,,
616,B1_MC,PI,NW,1,0,,
617,B1_MC,PI,GAL,-1,1,,
618,B1_MC,PI,NW,1,0,,
619,B1_MC,PI,GAL,-1,1,,
620,B1_MC,PC,GW,1,1,,
621,B1_MC,PI,GAL,-1,1,,
622,B1_MC,PC,GW,1,1,,
623,B1_MC,PI,GAL,-1,1,,
624,B1_MC,PC,GW,1,1,,
625,B1_MC,PC,GW,1,1,,
626,B1_MC,PI,NW,1,0,,
627,B1_MC,PC,GW,1,1,,
628,B1_MC,PI,GAL,-1,1,,
629,B1_MC,PI,GAL,-1,1,,
630,B1_MC,PI,NW,1,0,,
631,B1_MC,PI,GAL,-1,1,,
632,B1_MC,PC,NAL,-1,0,,
633,B1_MC,PC,NAL,-1,0,,
634,B1_MC,PI,NW,1,0,,
635,B1_MC,PI,GAL,-1,1,,
636,B1_MC,PC,GW,1,1,,
637,B1_MC,PC,GW,1,1,,
638,B1_MC,PI,GAL,-1,1,,
639,B1_MC,PC,NAL,-1,0,,
640,B1_MC,PI,GAL,-1,1,,
641,B1_MC,PC,NAL,-1,0,,
642,B1_MC,PC,GW,1,1,,
643,B1_MC,PC,GW,1,1,,
644,B1_MC,PI,GAL,-1,1,,
645,B1_MC,PC,NAL,-1,0,,
646,B1_MC,PC,NAL,-1,0,,
647,B1_MC,PI,GAL,-1,1,,
648,B1_MC,PI,GAL,-1,1,,
649,B1_MC,PI,NW,1,0,,
650,B1_MC,PI,GAL,-1,1,,
651,B1_MC,PC,GW,1,1,,
652,B1_MC,PI,GAL,-1,1,,
653,B1_MC,PI,GAL,-1,1,,
654,B1_MC,PI,NW,1,0,,
655,B1_MC,PI,GAL,-1,1,,
656,B1_MC,PI,GAL,-1,1,,
657,B1_MC,PI,NW,1,0,,
658,B1_MC,PI,GAL,-1,1,,
659,B1_MC,PC,GW,1,1,,
660,B1_MC,PI,GAL,-1,1,,
661,B1_MC,PC,GW,1,1,,
662,B1_MC,PI,GAL,-1,1,,
